band,date,hour_utc,tx_sign,tx_grid,tx_lat,tx_lon,rx_sign,rx_grid,rx_lat,rx_lon,distance_km,n_spots,avg_snr,worked
14,2026-07-20,6,KB0WJQ,EN35,45.146,-93.625,HB9VQQ/RL,JN47,47.312,8.875,7263.0,1,-29.0,True
14,2026-07-20,6,PB2GT,JO22,52.146,5.458,VK5ARG,PF95,-34.188,138.625,15820.0,3,-12.666666666666666,True
14,2026-07-20,6,G8ORM,IO93,53.854,-1.792,WA2N,EM85,35.479,-83.042,6360.0,1,-19.0,True
14,2026-07-20,6,SR8RJS,KN09,49.729,21.542,DD5XX,JN48,48.771,9.292,894.0,2,-12.0,True
14,2026-07-20,6,K6VDU,CM98,38.438,-121.375,N2YCH,FN31,41.271,-73.208,4071.0,6,-11.333333333333334,True
14,2026-07-20,6,LY3AZ,KO25,55.479,24.958,SA6BSS/HL,JO68,58.104,13.542,753.0,7,-3.7142857142857144,True
14,2026-07-20,6,OZ8WSP,JO57,57.479,10.958,ON5KQ,JO10,50.771,3.208,900.0,2,-4.5,True
14,2026-07-20,6,K4CFB,FM04,34.479,-79.042,G4ZFQ,IO90,50.729,-1.292,6305.0,1,-28.0,True
14,2026-07-20,6,W6EXT,CM87,37.354,-122.125,KC1USE,FN43,43.812,-70.208,4370.0,3,-27.0,True
14,2026-07-20,6,DL1FX,JN49,49.729,8.542,N3AGE-4,FN30,40.938,-73.375,6154.0,1,-24.0,True
14,2026-07-20,6,HB9ZIC,JN47,47.521,8.458,OH6BG,KP03,63.021,21.375,1900.0,1,-20.0,True
14,2026-07-20,6,KB0EE,DN70,40.479,-105.042,KC2G,FN21,41.021,-74.125,2591.0,2,-13.0,True
14,2026-07-20,6,KH6EJ,BK29,19.479,-155.042,WA9WTK,FN42,42.438,-71.542,8041.0,1,-30.0,True
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,ZL4KYH,RE78,-41.229,174.792,13608.0,1,-23.0,True
14,2026-07-20,6,KG4LHC,EM85,35.938,-83.208,DK6UG,JN49,49.521,8.208,7151.0,2,-27.5,True
14,2026-07-20,6,K5XL,EM12,32.646,-97.125,K3LR,EN91,41.188,-80.458,1755.0,6,-12.0,True
14,2026-07-20,6,G7KIA,IO93,53.812,-1.625,VK7JJ,QE38,-41.271,146.958,17308.0,2,-27.5,True
14,2026-07-20,6,OH5XO,KP41,61.021,28.208,DL7AUQ,JO63,53.312,12.875,1255.0,5,-6.2,True
14,2026-07-20,6,G3LRS,IO92,52.646,-1.208,LY3FF-11,KO25,55.021,24.625,1706.0,2,-6.5,True
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,YL3LJ,KO26,56.729,25.458,1393.0,7,-10.857142857142858,True
14,2026-07-20,6,K0PCG,EN31,41.479,-93.042,N0QDS,EN35,45.021,-93.458,395.0,1,-12.0,True
14,2026-07-20,6,AJ8S,EM89,39.812,-83.875,K0RAE/W,EN36,46.854,-93.958,1129.0,1,-30.0,True
14,2026-07-20,6,W0NKA,EN35,45.021,-92.875,WESSEX,IO80,50.729,-2.625,6330.0,2,-21.0,True
14,2026-07-20,6,DJ5MO,JO32,52.438,6.875,WESSEX,IO80,50.729,-2.625,683.0,7,-2.5714285714285716,True
14,2026-07-20,6,SM7XGC,JO65,55.646,13.458,M9PSY-1,IO86,56.021,-3.375,1049.0,13,-17.076923076923077,True
14,2026-07-20,6,KZ4IK,FM08,38.354,-78.208,VE4DRK,EN19,49.854,-97.042,1964.0,2,-22.5,True
14,2026-07-20,6,081KXX,IL22,22.479,-15.042,WA2N,EM85,35.479,-83.042,6644.0,1,-18.0,True
14,2026-07-20,6,OE1ELW/8,JN66,46.604,13.458,VO1CBL,GN37,47.562,-53.542,4910.0,5,-13.2,True
14,2026-07-20,6,G6CKK,JO01,51.396,0.458,N8GA,EN80,40.188,-83.625,6271.0,1,-29.0,True
14,2026-07-20,6,SP9PWS,KN09,49.479,20.958,DN9DSF,JN59,49.854,11.042,714.0,1,-26.0,True
14,2026-07-20,6,2E0DLC,IO93,53.479,-1.042,K6VZK,DM13,33.312,-116.875,8564.0,2,-20.0,True
14,2026-07-20,6,0E1LIM,JO53,53.479,10.958,PE0MJX,JO31,51.354,6.042,409.0,1,-13.0,True
14,2026-07-20,6,F6IDT,JN33,43.479,6.958,SA6BSS/HL,JO68,58.104,13.542,1689.0,5,-14.8,True
14,2026-07-20,6,F1JSC,JN03,43.188,0.542,VE3GXD,FN24,44.479,-75.042,5836.0,1,-22.0,True
14,2026-07-20,6,DF7PE,JN48,48.479,8.958,PA0RDT,JO11,51.521,3.625,509.0,4,-9.0,True
14,2026-07-20,6,W1BCL,FN42,42.604,-71.375,KV0S,EM38,38.896,-92.375,1811.0,2,-25.5,True
14,2026-07-20,6,W4EO,FM29,39.479,-75.042,KD7EFG-1,DN31,41.604,-112.292,3132.0,2,-7.0,True
14,2026-07-20,6,F6IDT,JN33,43.479,6.958,DK1IZ,JO43,53.771,9.458,1159.0,5,-14.2,True
14,2026-07-20,6,VK3MO,QF22,-37.521,144.958,W6EXT,CM87,37.354,-122.125,12641.0,3,-1.0,True
14,2026-07-20,6,PH9K,JO33,53.229,6.542,OE3GBB/P,JN87,47.688,16.042,911.0,6,-2.3333333333333335,True
14,2026-07-20,6,N0LUF,DM78,38.771,-104.708,VE2DPF,FN35,45.021,-73.792,2634.0,2,-14.0,True
14,2026-07-20,6,G4HSB,IO94,54.479,-1.042,W1CK-1,DM13,33.188,-117.292,8526.0,9,-13.777777777777779,True
14,2026-07-20,6,EA5JTT,IM99,39.479,-0.375,K9TRV-5,EN82,42.354,-83.875,6724.0,1,-22.0,True
14,2026-07-20,6,SP9PWS,KN09,49.479,20.958,DC5AL-R,JO31,51.438,6.958,1013.0,2,-15.5,True
14,2026-07-20,6,G7SYO,IO90,50.729,-1.708,LX1LC,JN39,49.646,6.375,588.0,1,-6.0,True
14,2026-07-20,6,KK1D,FN31,41.354,-72.208,VK4DL/SDR1,QG49,-20.396,148.625,15533.0,2,-23.0,True
14,2026-07-20,6,IK6ZEW,JN72,42.438,14.208,SQ3H,JO82,52.688,16.875,1157.0,1,-15.0,True
14,2026-07-20,6,HP2DFA,FJ09,9.271,-79.792,KQ2Y,FN31,41.562,-73.458,3644.0,1,-15.0,True
14,2026-07-20,6,VK6XT,OF77,-32.062,115.958,VK6QA,QH22,-17.396,145.958,3423.0,1,-17.0,True
