08, 18,    3.500,  51.1167,   7.2667,   174.73,  23.70, -94.38,  32.85,   0.00,   0.00,   0.00
08, 18,    5.300,  51.1167,   7.2667,   174.73,  30.23, -91.46,  39.79,   0.00,   0.00,   0.00
08, 18,    7.100,  51.1167,   7.2667,   174.73,  32.52, -91.70,  44.02,   0.00,   0.00,   0.00
08, 18,   10.100,  51.1167,   7.2667,   174.73,   8.79,-118.50,  26.06,   0.00,   0.00,   0.00
08, 18,   14.100,  51.1167,   7.2667,   174.73,  -2.76,-132.94,  14.06,   0.00,   0.00,   0.00
08, 18,   18.100,  51.1167,   7.2667,   174.73,  -9.97,-142.32,   8.52,   0.00,   0.00,   0.00
08, 18,   21.100,  51.1167,   7.2667,   174.73, -12.79,-146.47,   6.67,   0.00,   0.00,   0.00
08, 18,   24.900,  51.1167,   7.2667,   174.73, -14.08,-149.20,   5.27,   0.00,   0.00,   0.00
08, 18,   28.300,  51.1167,   7.2667,   174.73, -14.07,-150.31,   5.67,   0.00,   0.00,   0.00
08, 18,   29.700,  51.1167,   7.2667,   174.73, -14.04,-150.70,   5.85,   0.00,   0.00,   0.00
08, 19,    3.500,  51.1167,   7.2667,   174.73,  29.16, -88.92,  36.78,   0.00,   0.00,   0.00
08, 19,    5.300,  51.1167,   7.2667,   174.73,  32.57, -89.12,  40.57,   0.00,   0.00,   0.00
08, 19,    7.100,  51.1167,   7.2667,   174.73,  33.97, -90.26,  44.25,   0.00,   0.00,   0.00
08, 19,   10.100,  51.1167,   7.2667,   174.73,  10.53,-116.76,  27.47,   0.00,   0.00,   0.00
08, 19,   14.100,  51.1167,   7.2667,   174.73,  -1.53,-131.72,  15.58,   0.00,   0.00,   0.00
08, 19,   18.100,  51.1167,   7.2667,   174.73,  -9.09,-141.45,   9.53,   0.00,   0.00,   0.00
08, 19,   21.100,  51.1167,   7.2667,   174.73, -12.22,-145.91,   7.26,   0.00,   0.00,   0.00
08, 19,   24.900,  51.1167,   7.2667,   174.73, -13.78,-148.91,   5.56,   0.00,   0.00,   0.00
08, 19,   28.300,  51.1167,   7.2667,   174.73, -13.93,-150.17,   5.81,   0.00,   0.00,   0.00
08, 19,   29.700,  51.1167,   7.2667,   174.73, -13.91,-150.57,   5.98,   0.00,   0.00,   0.00
08, 20,    3.500,  51.1167,   7.2667,   174.73,  33.19, -84.89,  39.64,   0.00,   0.00,   0.00
08, 20,    5.300,  51.1167,   7.2667,   174.73,  34.69, -87.00,  41.68,   0.00,   0.00,   0.00
08, 20,    7.100,  51.1167,   7.2667,   174.73,  35.34, -88.88,  44.97,   0.00,   0.00,   0.00
08, 20,   10.100,  51.1167,   7.2667,   174.73,   9.71,-117.57,  26.60,   0.00,   0.00,   0.00
08, 20,   14.100,  51.1167,   7.2667,   174.73,  -2.35,-132.53,  15.05,   0.00,   0.00,   0.00
08, 20,   18.100,  51.1167,   7.2667,   174.73,  -9.67,-142.02,   9.07,   0.00,   0.00,   0.00
08, 20,   21.100,  51.1167,   7.2667,   174.73, -12.39,-146.08,   7.11,   0.00,   0.00,   0.00
